Flamengo, Rossi, 1
Flamengo, Léo Pereira, 4
Flamengo, Fabrício Bruno, 15
Flamengo, Ayrton Lucas, 6
Flamengo, Gerson, 8
Flamengo, De Arrascaeta, 14
Flamengo, Everton Cebolinha, 11
Flamengo, Pedro, 9
Palmeiras, Weverton, 21
Palmeiras, Gustavo Gómez, 15
Palmeiras, Murilo, 26
Palmeiras, Marcos Rocha, 2
Palmeiras, Piquerez, 22
Palmeiras, Zé Rafael, 8
Palmeiras, Raphael Veiga, 23
Palmeiras, Endrick, 9
São Paulo, Rafael, 23
São Paulo, Arboleda, 5
São Paulo, Diego Costa, 4
São Paulo, Welington, 6
São Paulo, Pablo Maia, 29
São Paulo, Alisson, 25
São Paulo, Lucas Moura, 7
São Paulo, Calleri, 9
Corinthians, Cássio, 12
Corinthians, Fagner, 23
Corinthians, Félix Torres, 3
Corinthians, Hugo, 4
Corinthians, Raniele, 14
Corinthians, Rodrigo Garro, 10
Corinthians, Wesley, 36
Corinthians, Yuri Alberto, 9
Atlético Mineiro, Everson, 22
Atlético Mineiro, Jemerson, 34
Atlético Mineiro, Bruno Fuchs, 3
Atlético Mineiro, Guilherme Arana, 13
Atlético Mineiro, Otávio, 5
Atlético Mineiro, Battaglia, 21
Atlético Mineiro, Paulinho, 10
Atlético Mineiro, Hulk, 7
Botafogo, Gatito, 1
Botafogo, Halter, 3
Botafogo, Bastos, 15
Botafogo, Hugo, 2
Botafogo, Marlon Freitas, 17
Botafogo, Tchê Tchê, 6
Botafogo, Eduardo, 33
Botafogo, Tiquinho Soares, 9
Fluminense, Fábio, 1
Fluminense, Felipe Melo, 30
Fluminense, Thiago Santos, 29
Fluminense, Marcelo, 12
Fluminense, André, 7
Fluminense, Martinelli, 8
Fluminense, Ganso, 10
Fluminense, Cano, 14
Cruzeiro, Rafael Cabral, 1
Cruzeiro, Zé Ivaldo, 5
Cruzeiro, Neris, 27
Cruzeiro, Marlon, 3
Cruzeiro, Lucas Romero, 29
Cruzeiro, Lucas Silva, 16
Cruzeiro, Matheus Pereira, 10
Cruzeiro, Arthur Gomes, 11
